"id","feature","company","cohort","launch","partial_window","userbase","pricing_model","usage_evidence","user_sentiment","company_conviction","competitive_response","strategic_signal","adoption_score","verdict","insight_note"
1,"ChatGPT Memory","OpenAI","AI native","2024-02","No","Both","Bundled freemium",9.0,7.0,10.0,9.5,9.5,9.0,"Strong survivor","Became infrastructure other features depend on; re architected in 2026. Switching cost protects it."
2,"Claude Artifacts","Anthropic","AI native","2024-06","No","Both","Bundled",7.0,7.5,9.5,9.0,9.0,8.3,"Strong survivor","Held the category versus Canvas by deepening the mechanism. Direct feature usage data is thin."
3,"Perplexity Deep Research","Perplexity","AI native","2025-02","No","Both","Freemium",8.0,7.5,9.0,9.0,9.0,8.5,"Strong survivor","Defined the deep research category; rivals all shipped their own version."
4,"Glean Assistant","Glean","AI native","2024-06","No","Enterprise","Per seat",9.0,8.0,9.5,8.5,9.5,8.9,"Strong survivor","Reached 300M ARR by May 2026; Fortune 500 count nearly doubled. ROI is partly soft per analysts."
5,"Cursor Composer","Cursor (Anysphere)","AI native","2024-11","No","Both","Usage based",9.5,7.5,10.0,9.5,9.5,9.2,"Strong survivor","Fastest scaling business software ever; built its own model. A 2025 pricing change angered users."
6,"Harvey Assistant","Harvey","AI native","2023","No","Enterprise","Per seat",9.5,8.0,9.5,8.5,9.5,9.1,"Strong survivor","142k+ lawyers; half the top 100 US firms; seat count doubles within 12 months."
7,"Jasper AI Agents Platform","Jasper","AI native","2024","No","Enterprise","Per seat",5.5,5.5,7.0,5.0,7.0,6.0,"Contested survivor","Pivot committed but unproven; no public revenue wins; commoditization pressure still visible."
8,"Writer AI Studio","Writer","AI native","2024","No","Enterprise","Per seat",5.5,5.0,8.0,5.5,8.0,6.4,"Quiet bet","Strong conviction and strategic investors; almost no independent user side proof."
9,"Gamma AI Generator","Gamma","AI native","2022","No","Both","Freemium",9.5,7.5,9.0,8.5,9.0,8.8,"Strong survivor","70M users; 102M ARR; profitable. Rival Tome exited. PowerPoint export weakness persists."
10,"Descript Underlord","Descript","AI native","2025-04","No","Both","Usage based",6.5,7.5,8.0,6.5,8.0,7.3,"Solid survivor","Strong reviews for its niche; no hard numbers; not built for cinematic work."
11,"Runway Gen-3 Alpha","Runway","AI native","2024-06","No","Both","Usage based",7.0,7.0,9.0,8.0,9.0,8.0,"Survivor in a crowded field","Shipped first and stayed top tier (Gen-4 then 4.5) but Google Veo is now called the leader."
12,"ElevenLabs Conversational AI","ElevenLabs","AI native","2024","No","Both","Usage based",9.0,8.0,9.5,8.5,9.5,8.9,"Strong survivor","500M+ ARR by April 2026 driven by voice agents; rebranded the whole company around it."
13,"Character.ai core chat","Character.ai","AI native","2022","No","Consumer","Freemium",4.5,3.5,5.5,5.0,4.5,4.6,"Regressed","Cautionary tale; under 18 open chat removed Nov 2025 under legal and regulatory pressure."
14,"Replit Agent","Replit","AI native","2024-09","No","Both","Usage based",9.5,7.0,10.0,8.5,9.5,9.0,"Strong survivor","Took ARR from a 2.8M plateau to roughly 525M; reliability incidents are a real risk."
15,"Granola Spaces","Granola","AI native","2025-05","Yes","Enterprise","Per seat",7.5,7.0,9.0,6.5,9.0,7.9,"Promising but young","Enterprise pivot working (250 percent quarterly growth) but the Spaces brand is new (March 2026)."
16,"Notion Q&A","Notion","Traditional SaaS","2023-11","No","Both","Bundled",8.0,7.5,9.0,7.0,8.5,8.1,"Strong survivor","AI use tripled after bundling into the Business plan (single source); core to the agent platform."
